"comuna","confia_muchobastante_pdiFALSE","confia_muchobastante_pdiTRUE","se.confia_muchobastante_pdiFALSE","se.confia_muchobastante_pdiTRUE"
"Quillon",0.890337560569239,0.109662439430761,0.0244815575820317,0.0244815575820317
"Quillota",0.734777833676111,0.265222166323889,0.0283409399102014,0.0283409399102014
"Quilpue",0.730172035817661,0.269827964182339,0.0207427128542421,0.0207427128542421
"Quinta Normal",0.779909540282582,0.220090459717418,0.0273108384770815,0.0273108384770815
"Quirihue",0.86773192715364,0.13226807284636,0.0240804474316485,0.0240804474316485
"Rancagua",0.780839547964864,0.219160452035135,0.0284565163976952,0.0284565163976952
"Recoleta",0.841953218448053,0.158046781551947,0.0219815972252887,0.0219815972252887
"Renca",0.870385718216498,0.129614281783502,0.0212313046179869,0.0212313046179869
"Rengo",0.842123322948846,0.157876677051154,0.0243183865758545,0.0243183865758545
"Rio Bueno",0.922801026847839,0.077198973152161,0.0176358129746757,0.0176358129746757
"San Antonio",0.863242630541249,0.136757369458751,0.0225556460244837,0.0225556460244837
"San Bernardo",0.833085592659399,0.166914407340601,0.0211510767166349,0.0211510767166349
"San Carlos",0.756879072130392,0.243120927869608,0.0261034348244693,0.0261034348244693
"San Felipe",0.842714824965795,0.157285175034205,0.0191516027709764,0.0191516027709764
"San Fernando",0.713303220889892,0.286696779110108,0.0255960520587832,0.0255960520587832
"San Javier",0.778518823726019,0.221481176273981,0.0245361183942004,0.0245361183942004
"San Joaquin",0.822726303115444,0.177273696884556,0.0275927751022453,0.0275927751022453
"San Miguel",0.786948603535214,0.213051396464786,0.0199142214548745,0.0199142214548745
"San Pedro de la Paz",0.846822506568096,0.153177493431904,0.0164485684481286,0.0164485684481286
"San Ramon",0.850114725088245,0.149885274911755,0.0228117435204497,0.0228117435204497
"San Vicente",0.850618227400338,0.149381772599662,0.0292992297570824,0.0292992297570824
"Santa Cruz",0.881719115531739,0.118280884468261,0.0214289032512839,0.0214289032512839
"Santiago",0.810330337475132,0.189669662524868,0.0155248784756897,0.0155248784756897
"Talagante",0.820403307968837,0.179596692031163,0.022232282079756,0.022232282079756
"Talca",0.773239830290235,0.226760169709765,0.0201591995282736,0.0201591995282736
"Talcahuano",0.726112022148563,0.273887977851437,0.0240373788832142,0.0240373788832142
"Temuco",0.77975500600479,0.22024499399521,0.0190738481005935,0.0190738481005935
"Tocopilla",0.803598694324601,0.196401305675399,0.0312269328671042,0.0312269328671042
"Tome",0.778082712394759,0.221917287605241,0.0228235858666531,0.0228235858666531
"Valdivia",0.772754205559157,0.227245794440843,0.0170442180060289,0.0170442180060289
"Vallenar",0.841518743911652,0.158481256088348,0.0261859218809246,0.0261859218809246
"Valparaiso",0.855800037344758,0.144199962655242,0.0143569785952816,0.0143569785952816
"Victoria",0.771013122848673,0.228986877151327,0.030780942754014,0.030780942754014
"Vilcun",0.952835607694225,0.0471643923057745,0.0128500779104832,0.0128500779104832
"Villa Alemana",0.871158629369055,0.128841370630945,0.0152309155399514,0.0152309155399514
"Villarrica",0.832407433997987,0.167592566002013,0.0270990401826967,0.0270990401826967
"Vina del Mar",0.76338506157562,0.23661493842438,0.0170257431783241,0.0170257431783241
"Vitacura",0.838337218659028,0.161662781340972,0.0311386118996285,0.0311386118996285
"Yungay",0.808644808978967,0.191355191021033,0.0376750806865149,0.0376750806865149
