"comuna","si_medidas_seguridad_proteccionFALSE","si_medidas_seguridad_proteccionTRUE","se.si_medidas_seguridad_proteccionFALSE","se.si_medidas_seguridad_proteccionTRUE"
"San Javier",0.754676771310264,0.245323228689736,0.0492791218578889,0.0492791218578889
"San Joaquin",0.633430363024684,0.366569636975316,0.0551710073823537,0.0551710073823537
"San Miguel",0.795271780544748,0.204728219455252,0.0280935806711754,0.0280935806711754
"San Pedro de la Paz",0.661362631187751,0.338637368812249,0.0331873277707538,0.0331873277707538
"San Ramon",0.627794930296838,0.372205069703162,0.0406812190320379,0.0406812190320379
"San Vicente",0.720880494608949,0.279119505391051,0.0381025205076521,0.0381025205076521
"Santa Cruz",0.752709772902029,0.247290227097971,0.0440728896238447,0.0440728896238447
"Santiago",0.815248941889277,0.184751058110723,0.0202268925589716,0.0202268925589716
"Talagante",0.560904917123803,0.439095082876197,0.0402766702020368,0.0402766702020368
"Talca",0.596799889760509,0.403200110239491,0.0277847588767953,0.0277847588767953
"Talcahuano",0.721896887690745,0.278103112309255,0.0290933265021781,0.0290933265021781
"Temuco",0.615261397254895,0.384738602745105,0.0321593409572589,0.0321593409572588
"Tocopilla",0.851899366351083,0.148100633648918,0.0384151988232053,0.0384151988232053
"Tome",0.831638828378777,0.168361171621223,0.032062551150574,0.032062551150574
"Valdivia",0.482817481764423,0.517182518235577,0.0292596023754817,0.0292596023754817
"Vallenar",0.535967761691816,0.464032238308184,0.0468710916018435,0.0468710916018435
"Valparaiso",0.704243646568805,0.295756353431195,0.0268247042898967,0.0268247042898967
"Victoria",0.832596469049291,0.167403530950709,0.0345965395052326,0.0345965395052326
"Vilcun",0.784657299850897,0.215342700149103,0.0298794704183429,0.0298794704183429
"Villa Alemana",0.482346863194209,0.517653136805791,0.0295307540541325,0.0295307540541325
"Villarrica",0.5682212521044,0.4317787478956,0.0573329176180202,0.0573329176180201
"Vina del Mar",0.673826510594748,0.326173489405252,0.0211871875020028,0.0211871875020028
"Vitacura",0.714722472018202,0.285277527981798,0.0419470904729563,0.0419470904729563
"Yungay",0.813235661268516,0.186764338731484,0.0328012307574684,0.0328012307574684
