"comuna","si_medida_seguridad_rejasFALSE","si_medida_seguridad_rejasTRUE","se.si_medida_seguridad_rejasFALSE","se.si_medida_seguridad_rejasTRUE"
"San Javier",0.443423502039912,0.556576497960088,0.0517267548452322,0.0517267548452322
"San Joaquin",0.317087705831726,0.682912294168274,0.0593210898983069,0.0593210898983069
"San Miguel",0.660078587837113,0.339921412162887,0.0299391779138512,0.0299391779138512
"San Pedro de la Paz",0.515505771510653,0.484494228489347,0.0351257176717226,0.0351257176717226
"San Ramon",0.238301848168915,0.761698151831085,0.030451661898534,0.030451661898534
"San Vicente",0.782899409265867,0.217100590734133,0.0450216851884939,0.0450216851884939
"Santa Cruz",0.642289855432093,0.357710144567907,0.0350698488225655,0.0350698488225655
"Santiago",0.678551521303596,0.321448478696404,0.0226281054634388,0.0226281054634388
"Talagante",0.464784735644603,0.535215264355397,0.034035365740147,0.034035365740147
"Talca",0.233972705985977,0.766027294014023,0.026036542132585,0.026036542132585
"Talcahuano",0.30952165636198,0.69047834363802,0.0304208149209282,0.0304208149209282
"Temuco",0.470875240035039,0.52912475996496,0.0295768444192932,0.0295768444192932
"Tocopilla",0.325716956570944,0.674283043429057,0.0411102630142214,0.0411102630142214
"Tome",0.640741390291097,0.359258609708903,0.0461507027359932,0.0461507027359932
"Valdivia",0.763739997490513,0.236260002509487,0.0181508290010938,0.0181508290010938
"Vallenar",0.345386174365663,0.654613825634337,0.0377416697489821,0.0377416697489821
"Valparaiso",0.456882059802337,0.543117940197663,0.0285532798792366,0.0285532798792366
"Victoria",0.564265405588417,0.435734594411583,0.0578767459699897,0.0578767459699897
"Vilcun",0.69305571755622,0.30694428244378,0.0480963990200617,0.0480963990200617
"Villa Alemana",0.381698977738474,0.618301022261526,0.0250486885688049,0.0250486885688049
"Villarrica",0.820945107579178,0.179054892420822,0.03306155783275,0.03306155783275
"Vina del Mar",0.480399888571155,0.519600111428845,0.0285828041472554,0.0285828041472554
"Vitacura",0.586755664350683,0.413244335649318,0.0414829654890832,0.0414829654890832
"Yungay",0.806618427742982,0.193381572257019,0.0303017938770142,0.0303017938770142
