"comuna","victimizacion_armada_de_algun_tipoFALSE","victimizacion_armada_de_algun_tipoTRUE","se.victimizacion_armada_de_algun_tipoFALSE","se.victimizacion_armada_de_algun_tipoTRUE"
"Talagante",0.980434980482746,0.019565019517254,0.0103274603936557,0.0103274603936557
"Talca",0.993593602778775,0.00640639722122555,0.0027967811778125,0.0027967811778125
"Talcahuano",0.980438484474217,0.0195615155257827,0.00655898025817041,0.00655898025817041
"Temuco",0.98803936860923,0.0119606313907699,0.00526473121768626,0.00526473121768626
"Tocopilla",1,0,0,0
"Tome",0.989923621632231,0.0100763783677693,0.00619184097446485,0.00619184097446485
"Valdivia",0.9949310099435,0.00506899005649954,0.00363316217165536,0.00363316217165537
"Vallenar",0.99116141226541,0.00883858773458959,0.00634620685106832,0.00634620685106832
"Valparaiso",0.981580569405228,0.018419430594772,0.00531437483807885,0.00531437483807885
"Victoria",0.989863465213757,0.0101365347862429,0.00708572461575323,0.00708572461575323
"Vilcun",1,0,0,0
"Villa Alemana",0.991796532784696,0.00820346721530412,0.00442690193087348,0.00442690193087348
"Villarrica",1,0,0,0
"Vina del Mar",0.991628506618599,0.00837149338140104,0.00353640053161063,0.00353640053161063
"Vitacura",0.990140341408323,0.00985965859167699,0.00976026041802734,0.00976026041802734
"Yungay",1,0,5.14027387607046e-18,0
